Unnamed: 0,Species,TREE_ID,X',Y',Year,logF_current,X,Y
78,Quercus agrifolia,52304_4_83_6_4_1,-119.7917567,34.00007,2010,1.713780376,-119.79167,34.0
79,Quercus agrifolia,52304_4_83_6_4_1,-119.7916767,34.0,2020,1.511606317,-119.79167,34.0
80,Quercus agrifolia,52695_6_73_6_4_107,-116.7083833,32.95842,2002,1.628370361,-116.70833,32.95833
81,Quercus agrifolia,52695_6_73_6_4_107,-116.7084233,32.95835,2012,1.968595004,-116.70833,32.95833
82,Quercus agrifolia,52695_6_73_6_4_109,-116.7083833,32.9584,2002,1.872601839,-116.70833,32.95833
83,Quercus agrifolia,52695_6_73_6_4_109,-116.7083833,32.95842,2012,2.256062815,-116.70833,32.95833
84,Quercus agrifolia,52695_6_73_6_4_110,-116.7083333,32.95833,2002,2.583284431,-116.70833,32.95833
85,Quercus agrifolia,52695_6_73_6_4_110,-116.7084033,32.95841,2012,2.919731964,-116.70833,32.95833
86,Quercus agrifolia,53490_3_55_6_4_143,-122.50006,38.54173,2008,1.829848227,-122.5,38.54167
87,Quercus agrifolia,53490_3_55_6_4_143,-122.50006,38.54171,2018,1.311113686,-122.5,38.54167
88,Quercus agrifolia,53654_4_53_6_1_100,-121.50008,36.75001,2005,1.863128228,-121.5,36.75
89,Quercus agrifolia,53654_4_53_6_1_100,-121.50008,36.75001,2015,1.25524898,-121.5,36.75
90,Quercus agrifolia,53654_4_53_6_1_101,-121.50006,36.75002,2005,2.066192073,-121.5,36.75
91,Quercus agrifolia,53654_4_53_6_1_101,-121.5,36.75004,2015,1.447802861,-121.5,36.75
92,Quercus agrifolia,53654_4_53_6_3_118,-121.50003,36.75004,2005,1.834112475,-121.5,36.75
93,Quercus agrifolia,53654_4_53_6_3_118,-121.50005,36.75007,2015,1.221038664,-121.5,36.75
94,Quercus agrifolia,53654_4_53_6_3_119,-121.50008,36.75007,2005,1.865406749,-121.5,36.75
95,Quercus agrifolia,53654_4_53_6_3_119,-121.50008,36.75008,2015,1.352910698,-121.5,36.75
96,Quercus agrifolia,53654_4_53_6_3_121,-121.50004,36.75001,2015,0.692769042,-121.5,36.75
97,Quercus agrifolia,53654_4_53_6_3_121,-121.5,36.75002,2005,1.408863645,-121.5,36.75
98,Quercus agrifolia,53654_4_53_6_3_122,-121.50001,36.75009,2005,1.598571559,-121.5,36.75
99,Quercus agrifolia,53654_4_53_6_3_122,-121.50003,36.75005,2015,0.971653579,-121.5,36.75
100,Quercus agrifolia,53654_4_53_6_3_123,-121.50009,36.75002,2005,2.44645116,-121.5,36.75
101,Quercus agrifolia,53654_4_53_6_3_123,-121.5,36.75001,2015,1.903328306,-121.5,36.75
102,Quercus agrifolia,53654_4_53_6_3_124,-121.50006,36.75008,2005,2.553349092,-121.5,36.75
103,Quercus agrifolia,53654_4_53_6_3_124,-121.50006,36.75004,2015,2.013310925,-121.5,36.75
104,Quercus agrifolia,53654_4_53_6_3_125,-121.50007,36.75001,2015,0.727836281,-121.5,36.75
105,Quercus agrifolia,53654_4_53_6_3_125,-121.50001,36.75003,2005,1.324840979,-121.5,36.75
106,Quercus agrifolia,53654_4_53_6_4_109,-121.50009,36.75006,2005,2.037307594,-121.5,36.75
107,Quercus agrifolia,53654_4_53_6_4_109,-121.50003,36.75006,2015,1.38992789,-121.5,36.75
108,Quercus agrifolia,53654_4_53_6_4_110,-121.50005,36.75007,2005,1.90038512,-121.5,36.75
109,Quercus agrifolia,53654_4_53_6_4_110,-121.50007,36.75007,2005,1.197623358,-121.5,36.75
110,Quercus agrifolia,53654_4_53_6_4_110,-121.50009,36.75007,2015,1.90038512,-121.5,36.75
111,Quercus agrifolia,53654_4_53_6_4_110,-121.50003,36.75006,2015,1.197623358,-121.5,36.75
112,Quercus agrifolia,53654_4_53_6_4_111,-121.50007,36.75,2005,2.054876725,-121.5,36.75
113,Quercus agrifolia,53654_4_53_6_4_111,-121.50009,36.75003,2015,1.411840583,-121.5,36.75
114,Quercus agrifolia,53654_4_53_6_4_112,-121.50009,36.75005,2005,2.910788088,-121.5,36.75
115,Quercus agrifolia,53654_4_53_6_4_112,-121.50008,36.75,2015,2.35746441,-121.5,36.75
116,Quercus agrifolia,53654_4_53_6_4_113,-121.50008,36.75008,2005,2.372883098,-121.5,36.75
117,Quercus agrifolia,53654_4_53_6_4_113,-121.5,36.75008,2015,1.81903109,-121.5,36.75
118,Quercus agrifolia,53654_4_53_6_4_115,-121.50004,36.75,2005,1.389282984,-121.5,36.75
119,Quercus agrifolia,53654_4_53_6_4_115,-121.50008,36.75002,2015,0.797781386,-121.5,36.75
120,Quercus agrifolia,53654_4_53_6_4_116,-121.50006,36.75,2005,2.783131074,-121.5,36.75
121,Quercus agrifolia,53654_4_53_6_4_116,-121.50006,36.75001,2015,2.187773457,-121.5,36.75
122,Quercus agrifolia,54075_4_81_6_1_300,-122.37502,37.54176,2008,1.331681705,-122.375,37.54167
123,Quercus agrifolia,54075_4_81_6_1_300,-122.37506,37.54174,2018,0.877279844,-122.375,37.54167
124,Quercus agrifolia,54075_4_81_6_1_302,-122.37506,37.54171,2018,0.608110718,-122.375,37.54167
125,Quercus agrifolia,54075_4_81_6_1_302,-122.37507,37.5417,2018,0.137014497,-122.375,37.54167
126,Quercus agrifolia,54075_4_81_6_1_302,-122.37503,37.54168,2008,0.608110718,-122.375,37.54167
127,Quercus agrifolia,54075_4_81_6_1_302,-122.37502,37.54175,2008,0.137014497,-122.375,37.54167
128,Quercus agrifolia,54075_4_81_6_1_303,-122.37503,37.54168,2008,0.926285396,-122.375,37.54167
129,Quercus agrifolia,54075_4_81_6_1_303,-122.37507,37.54171,2018,0.475966233,-122.375,37.54167
130,Quercus agrifolia,54075_4_81_6_1_304,-122.37506,37.54171,2008,0.725532802,-122.375,37.54167
131,Quercus agrifolia,54075_4_81_6_1_304,-122.37507,37.54171,2018,0.288334064,-122.375,37.54167
132,Quercus agrifolia,54075_4_81_6_1_305,-122.37507,37.54168,2008,0.92180899,-122.375,37.54167
133,Quercus agrifolia,54075_4_81_6_1_305,-122.37506,37.5417,2018,0.454242297,-122.375,37.54167
134,Quercus agrifolia,54075_4_81_6_1_306,-122.37508,37.5417,2008,0.922732087,-122.375,37.54167
135,Quercus agrifolia,54075_4_81_6_1_306,-122.37506,37.54175,2018,0.437507108,-122.375,37.54167
136,Quercus agrifolia,54075_4_81_6_1_307,-122.37505,37.54174,2008,0.788514083,-122.375,37.54167
137,Quercus agrifolia,54075_4_81_6_1_307,-122.37508,37.5417,2008,0.297294932,-122.375,37.54167
138,Quercus agrifolia,54075_4_81_6_1_307,-122.375,37.54175,2018,0.788514083,-122.375,37.54167
139,Quercus agrifolia,54075_4_81_6_1_307,-122.37504,37.54172,2018,0.297294932,-122.375,37.54167
140,Quercus agrifolia,54075_4_81_6_2_309,-122.375,37.54167,2008,1.886373831,-122.375,37.54167
141,Quercus agrifolia,54075_4_81_6_2_309,-122.37502,37.54175,2018,1.508936523,-122.375,37.54167
142,Quercus agrifolia,54089_6_73_6_2_115,-116.9166867,33.33336,2012,1.924287812,-116.91667,33.33333
143,Quercus agrifolia,54089_6_73_6_2_115,-116.9167467,33.33333,2002,1.368782228,-116.91667,33.33333
144,Quercus agrifolia,54207_4_53_6_2_302,-121.87507,36.54174,2007,0.640711708,-121.875,36.54167
145,Quercus agrifolia,54207_4_53_6_2_302,-121.87505,36.54169,2017,0.758405993,-121.875,36.54167
146,Quercus agrifolia,54207_4_53_6_2_303,-121.87501,36.54169,2007,0.150888818,-121.875,36.54167
147,Quercus agrifolia,54207_4_53_6_2_303,-121.87507,36.54167,2017,0.220191622,-121.875,36.54167
148,Quercus agrifolia,54207_4_53_6_2_304,-121.87504,36.5417,2017,0.340055382,-121.875,36.54167
149,Quercus agrifolia,54207_4_53_6_2_304,-121.87509,36.54175,2007,0.195683991,-121.875,36.54167
150,Quercus agrifolia,54207_4_53_6_2_305,-121.87509,36.54173,2007,0.570719377,-121.875,36.54167
151,Quercus agrifolia,54207_4_53_6_2_305,-121.87507,36.54169,2017,0.543692386,-121.875,36.54167
152,Quercus agrifolia,54249_4_87_6_1_301,-122.0833433,37.20841,2007,1.495342005,-122.08333,37.20833
153,Quercus agrifolia,54249_4_87_6_1_301,-122.0833633,37.20834,2017,1.318544498,-122.08333,37.20833
154,Quercus agrifolia,54249_4_87_6_1_302,-122.0833733,37.20839,2007,1.408723519,-122.08333,37.20833
155,Quercus agrifolia,54249_4_87_6_1_302,-122.0834233,37.20838,2017,1.214482331,-122.08333,37.20833
156,Quercus agrifolia,54249_4_87_6_1_303,-122.0834233,37.2084,2007,1.506661829,-122.08333,37.20833
157,Quercus agrifolia,54249_4_87_6_1_303,-122.0833333,37.20834,2017,1.22635216,-122.08333,37.20833
158,Quercus agrifolia,54249_4_87_6_2_306,-122.0833633,37.2084,2017,0.973524824,-122.08333,37.20833
159,Quercus agrifolia,54249_4_87_6_2_306,-122.0833733,37.20834,2007,1.354122613,-122.08333,37.20833
160,Quercus agrifolia,54249_4_87_6_2_307,-122.0833333,37.20837,2007,1.54928183,-122.08333,37.20833
161,Quercus agrifolia,54249_4_87_6_2_307,-122.0833533,37.20836,2017,1.270139877,-122.08333,37.20833
162,Quercus agrifolia,54249_4_87_6_2_308,-122.0834233,37.20842,2007,2.201506824,-122.08333,37.20833
163,Quercus agrifolia,54249_4_87_6_2_308,-122.0834233,37.20833,2017,1.966089701,-122.08333,37.20833
164,Quercus agrifolia,54249_4_87_6_2_309,-122.0833833,37.2084,2007,1.207809551,-122.08333,37.20833
165,Quercus agrifolia,54249_4_87_6_2_309,-122.0833333,37.20835,2017,1.057362361,-122.08333,37.20833
166,Quercus agrifolia,54249_4_87_6_4_320,-122.0833433,37.20839,2007,1.585370278,-122.08333,37.20833
167,Quercus agrifolia,54249_4_87_6_4_320,-122.0833433,37.2084,2017,1.359759264,-122.08333,37.20833
168,Quercus agrifolia,54249_4_87_6_4_321,-122.0834233,37.20835,2017,1.431393322,-122.08333,37.20833
169,Quercus agrifolia,54249_4_87_6_4_321,-122.0833533,37.20841,2007,1.657604054,-122.08333,37.20833
170,Quercus agrifolia,54595_4_111_6_1_300,-119.2916967,34.50002,2020,2.223447838,-119.29167,34.5
171,Quercus agrifolia,54595_4_111_6_1_300,-119.2917167,34.50009,2010,2.940851551,-119.29167,34.5
172,Quercus agrifolia,54595_4_111_6_2_304,-119.2917267,34.50007,2010,1.993285152,-119.29167,34.5
173,Quercus agrifolia,54595_4_111_6_2_304,-119.2917367,34.50008,2020,1.965863048,-119.29167,34.5
174,Quercus agrifolia,54595_4_111_6_2_305,-119.2917467,34.50001,2020,2.024953693,-119.29167,34.5
175,Quercus agrifolia,54595_4_111_6_2_305,-119.2917567,34.5,2010,2.312971481,-119.29167,34.5
176,Quercus agrifolia,54595_4_111_6_4_310,-119.2916667,34.50002,2010,1.65555643,-119.29167,34.5
177,Quercus agrifolia,54595_4_111_6_4_310,-119.2916967,34.50006,2020,1.493038241,-119.29167,34.5
178,Quercus agrifolia,54595_4_111_6_4_311,-119.2917567,34.50002,2020,1.711564841,-119.29167,34.5
179,Quercus agrifolia,54595_4_111_6_4_311,-119.2916867,34.5,2010,1.94943703,-119.29167,34.5
180,Quercus agrifolia,54725_4_41_6_4_124,-122.7083433,38.12507,2001,0.744723155,-122.70833,38.125
181,Quercus agrifolia,54725_4_41_6_4_124,-122.7083933,38.12508,2011,0.765996263,-122.70833,38.125
182,Quercus agrifolia,54725_4_41_6_4_124,-122.7083833,38.12505,2021,,-122.70833,38.125
183,Quercus agrifolia,54725_4_41_6_4_125,-122.7083933,38.12509,2001,0.904376042,-122.70833,38.125
184,Quercus agrifolia,54725_4_41_6_4_125,-122.7083533,38.125,2011,1.036190749,-122.70833,38.125
185,Quercus agrifolia,54725_4_41_6_4_125,-122.7083833,38.12506,2021,,-122.70833,38.125
186,Quercus agrifolia,54725_4_41_6_4_126,-122.7083733,38.12504,2001,0.853465766,-122.70833,38.125
187,Quercus agrifolia,54725_4_41_6_4_126,-122.7083333,38.12508,2011,0.855404317,-122.70833,38.125
188,Quercus agrifolia,54725_4_41_6_4_126,-122.7083533,38.12504,2021,,-122.70833,38.125
189,Quercus agrifolia,54725_4_41_6_4_127,-122.7084033,38.12509,2011,0.941564245,-122.70833,38.125
190,Quercus agrifolia,54725_4_41_6_4_127,-122.7083733,38.12506,2001,0.962529799,-122.70833,38.125
191,Quercus agrifolia,54725_4_41_6_4_127,-122.7083533,38.125,2021,,-122.70833,38.125
192,Quercus agrifolia,54725_4_41_6_4_128,-122.7083333,38.12508,2011,1.002609629,-122.70833,38.125
193,Quercus agrifolia,54725_4_41_6_4_128,-122.7083633,38.12506,2001,0.860321224,-122.70833,38.125
194,Quercus agrifolia,54725_4_41_6_4_128,-122.7083633,38.12509,2021,,-122.70833,38.125
195,Quercus agrifolia,54959_1_97_6_2_104,-122.75009,38.70835,2008,2.481377738,-122.75,38.70833
196,Quercus agrifolia,54959_1_97_6_2_104,-122.75009,38.70841,2018,2.090006064,-122.75,38.70833
197,Quercus agrifolia,54959_1_97_6_2_109,-122.75008,38.70834,2008,2.004367956,-122.75,38.70833
198,Quercus agrifolia,54959_1_97_6_2_109,-122.75003,38.70839,2018,1.450657,-122.75,38.70833
199,Quercus agrifolia,54959_1_97_6_2_302,-122.75009,38.70835,2008,3.014465839,-122.75,38.70833
200,Quercus agrifolia,54959_1_97_6_2_302,-122.75003,38.70841,2018,2.523363597,-122.75,38.70833
201,Quercus agrifolia,54959_1_97_6_3_115,-122.75007,38.7084,2018,1.967769418,-122.75,38.70833
202,Quercus agrifolia,54959_1_97_6_3_115,-122.75,38.70833,2008,2.533680963,-122.75,38.70833
203,Quercus agrifolia,54959_1_97_6_3_116,-122.75007,38.7084,2008,1.928123225,-122.75,38.70833
204,Quercus agrifolia,54959_1_97_6_3_116,-122.75,38.70839,2018,1.393083325,-122.75,38.70833
205,Quercus agrifolia,54959_1_97_6_3_118,-122.75006,38.70836,2018,1.029658338,-122.75,38.70833
206,Quercus agrifolia,54959_1_97_6_3_118,-122.75004,38.70836,2008,1.602573795,-122.75,38.70833
207,Quercus agrifolia,54959_1_97_6_3_119,-122.75006,38.70839,2008,2.546026025,-122.75,38.70833
208,Quercus agrifolia,54959_1_97_6_3_119,-122.75008,38.70841,2018,2.078804725,-122.75,38.70833
209,Quercus agrifolia,54959_1_97_6_3_120,-122.75002,38.70833,2008,2.661782763,-122.75,38.70833
210,Quercus agrifolia,54959_1_97_6_3_120,-122.75009,38.70841,2018,2.118477418,-122.75,38.70833
211,Quercus agrifolia,54959_1_97_6_3_121,-122.75002,38.70837,2008,2.576167625,-122.75,38.70833
212,Quercus agrifolia,54959_1_97_6_3_121,-122.75001,38.70836,2018,2.048663125,-122.75,38.70833
213,Quercus agrifolia,54959_1_97_6_3_122,-122.75009,38.70835,2008,2.206933025,-122.75,38.70833
214,Quercus agrifolia,54959_1_97_6_3_122,-122.75005,38.70842,2018,1.694499325,-122.75,38.70833
215,Quercus agrifolia,54959_1_97_6_3_310,-122.75006,38.70839,2008,2.941997465,-122.75,38.70833
216,Quercus agrifolia,54959_1_97_6_3_310,-122.75006,38.70833,2018,2.491577526,-122.75,38.70833
217,Quercus agrifolia,54959_1_97_6_4_111,-122.75001,38.70833,2008,2.598773825,-122.75,38.70833
218,Quercus agrifolia,54959_1_97_6_4_111,-122.75009,38.70841,2018,2.056198525,-122.75,38.70833
219,Quercus agrifolia,54959_1_97_6_4_112,-122.75007,38.7084,2008,2.584967319,-122.75,38.70833
220,Quercus agrifolia,54959_1_97_6_4_112,-122.75,38.7084,2018,2.02208137,-122.75,38.70833
221,Quercus agrifolia,54959_1_97_6_4_304,-122.75003,38.70835,2008,2.973644522,-122.75,38.70833
222,Quercus agrifolia,54959_1_97_6_4_304,-122.75008,38.70842,2018,2.554116763,-122.75,38.70833
223,Quercus agrifolia,54959_1_97_6_4_305,-122.75008,38.70835,2008,2.03961071,-122.75,38.70833
224,Quercus agrifolia,54959_1_97_6_4_305,-122.75001,38.70838,2018,1.484219397,-122.75,38.70833
225,Quercus agrifolia,54959_1_97_6_4_306,-122.75008,38.70842,2008,2.146029408,-122.75,38.70833
226,Quercus agrifolia,54959_1_97_6_4_306,-122.75002,38.70838,2018,1.618192207,-122.75,38.70833
227,Quercus agrifolia,54959_1_97_6_4_307,-122.75002,38.70842,2008,2.124842404,-122.75,38.70833
228,Quercus agrifolia,54959_1_97_6_4_307,-122.75006,38.70833,2018,1.613617231,-122.75,38.70833
229,Quercus agrifolia,55020_4_83_6_3_104,-120.12505,34.91673,2005,1.993868017,-120.125,34.91667
230,Quercus agrifolia,55020_4_83_6_3_104,-120.12506,34.91676,2015,1.310575901,-120.125,34.91667
231,Quercus agrifolia,55020_4_83_6_3_105,-120.12508,34.91672,2015,1.247269832,-120.125,34.91667
232,Quercus agrifolia,55020_4_83_6_3_105,-120.125,34.91669,2005,1.842290595,-120.125,34.91667
233,Quercus agrifolia,55020_4_83_6_3_106,-120.12503,34.91671,2005,1.666107027,-120.125,34.91667
234,Quercus agrifolia,55020_4_83_6_3_106,-120.12507,34.91667,2015,1.069221452,-120.125,34.91667
235,Quercus agrifolia,55020_4_83_6_3_107,-120.12503,34.91671,2005,1.507875506,-120.125,34.91667
236,Quercus agrifolia,55020_4_83_6_3_107,-120.12507,34.91676,2015,0.849137508,-120.125,34.91667
237,Quercus agrifolia,55020_4_83_6_3_108,-120.12503,34.91674,2005,1.608347998,-120.125,34.91667
238,Quercus agrifolia,55020_4_83_6_3_108,-120.12507,34.91675,2015,0.964429797,-120.125,34.91667
239,Quercus agrifolia,55020_4_83_6_3_109,-120.12505,34.91675,2005,1.742127341,-120.125,34.91667
240,Quercus agrifolia,55020_4_83_6_3_109,-120.12502,34.91668,2015,1.086748303,-120.125,34.91667
241,Quercus agrifolia,55020_4_83_6_3_110,-120.12503,34.91671,2005,1.755912868,-120.125,34.91667
242,Quercus agrifolia,55020_4_83_6_3_110,-120.12507,34.91673,2015,1.097899572,-120.125,34.91667
243,Quercus agrifolia,55020_4_83_6_3_111,-120.12509,34.9167,2005,1.782302673,-120.125,34.91667
244,Quercus agrifolia,55020_4_83_6_3_111,-120.12505,34.9167,2015,1.138802596,-120.125,34.91667
245,Quercus agrifolia,55092_4_53_6_1_500,-121.25006,35.83341,2009,1.699314197,-121.25,35.83333
246,Quercus agrifolia,55092_4_53_6_1_500,-121.25003,35.83335,2019,1.852024034,-121.25,35.83333
247,Quercus agrifolia,55092_4_53_6_1_501,-121.25007,35.83341,2009,1.842115868,-121.25,35.83333
248,Quercus agrifolia,55092_4_53_6_1_501,-121.25,35.83338,2019,1.942508837,-121.25,35.83333
249,Quercus agrifolia,55092_4_53_6_1_502,-121.25009,35.83341,2009,1.486108593,-121.25,35.83333
250,Quercus agrifolia,55092_4_53_6_1_502,-121.25,35.8334,2019,1.583289071,-121.25,35.83333
251,Quercus agrifolia,55092_4_53_6_1_503,-121.25006,35.83336,2009,1.656429945,-121.25,35.83333
